시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
강동구,1174051500,강일동,1174010300203730001,1174010300103730001000001,127.174086955006,37.5507137314169
종로구,1111053000,사직동,1111011900201850002,1111011900101850002028133,126.976285499202,37.5712580290613
강남구,1168064000,역삼1동,1168010100208260026,1168010100108260026000001,127.02967923943199,37.4964803158248
광진구,1121581000,광장동,1121510400203290001,1121510400103290001010738,127.106087855114,37.547308115427704
마포구,1144065500,서강동,1144011500200860022,1144011500100860022009107,126.92325869850401,37.5502065639045
종로구,1111064000,이화동,1111016800200010115,1111016800100010115009281,127.002321047314,37.5815275489605
종로구,1111054000,삼청동,1111014000201120000,1111014000101120000000001,126.98176480007099,37.5853706511239
강남구,1168064000,역삼1동,1168010100206460015,1168010100106460017023565,127.03517761074801,37.500706248524295
중구,1114052000,소공동,1114016800201510000,1114016800101950001000002,126.97202179687001,37.5602553075084
강남구,1168052100,논현1동,1168010800200050001,1168010800100050001000001,127.02336846793699,37.517341764932205
강남구,1168058000,삼성1동,1168010500201590006,1168010500101590006016654,127.059426824816,37.509624041536796
광진구,1121571000,화양동,1121510700200050047,1121510700100050047016535,127.070714543377,37.5406916237944
강남구,1168061000,대치2동,1168010600209960009,1168010600109960009027347,127.065230995138,37.5085888497427
동대문구,1123056000,전농1동,1123010400206200002,1123010400106200002027783,127.044812040364,37.5797615830621
마포구,1144074000,상암동,1144012700216540000,1144012700101360006028901,126.89082837975201,37.577396950319205
서초구,1165053100,서초4동,1165010800213170023,1165010800113170027000001,127.02590362191299,37.4980981742341
서초구,1165054000,잠원동,1165010600200580024,1165010600100580024018867,127.01344801826099,37.509582355568796
강동구,1174068500,길동,1174010500203780003,1174010500103780003002601,127.14002383238001,37.538711780898204
중구,1114055000,명동,1114010500201990033,1114010500101990033019424,126.983715734748,37.56512306293929
종로구,1111056000,평창동,1111018300203100001,1111018300103100001023026,126.966763285432,37.60579292442
양천구,1147055000,목5동,1147010200209080034,1147010200109080034016345,126.882197957914,37.536732898438395
강남구,1168061000,대치2동,1168010600209880017,1168010600109880017013709,127.06222129600701,37.4996265116081
송파구,1171058000,송파1동,1171010400200070004,1171010400100070004012435,127.105216364301,37.5094301379565
노원구,1135056000,월계1동,1135010200204100001,1135010200104100001018401,127.060705412335,37.623175176207106
마포구,1144066000,서교동,1144012000204900000,1144012000104900000000001,126.91393744150601,37.551490770997795
마포구,1144066000,서교동,1144012000203430010,1144012000103430010010091,126.924866123909,37.5533297985066
구로구,1153054000,구로3동,1153010200211280001,1153010200111280001000001,126.898837323937,37.4831780131692
영등포구,1156054000,여의동,1156011000200360000,1156011000100360000037562,126.926163737378,37.520462586264294
서초구,1165053100,서초4동,1165010800216990003,1165010800116990003020030,127.013361956833,37.496354172193705
중구,1114052000,소공동,1114016600200570009,1114016600100570009022504,126.972166856166,37.562878601942
용산구,1117055500,청파동,1117011100201110035,1117011100101110035019742,126.967303679485,37.544544998587604
관악구,1162052500,보라매동,1162010100207290024,1162010100107290024000002,126.925364223124,37.491802036511295
영등포구,1156054000,여의동,1156011000200170010,1156011000100170010037276,126.91769659481501,37.5263141620611
서초구,1165058100,반포4동,1165010700200190003,1165010700100190003000001,127.00239321346001,37.5039300142165
중구,1114055000,명동,1114012400200240011,1114012400100240011019810,126.98387242031099,37.561087741844396
성북구,1129060000,안암동,1129060000201260001,1129012500101260001040184,127.02634146934601,37.5870983380348
구로구,1153056000,구로5동,1153010200200030025,1153010200100030025000001,126.89020763235001,37.507038039776894
서초구,1165058000,반포3동,1165010600200700002,1165010600100700002017536,127.007423858098,37.5092345394587
중랑구,1126057000,면목7동,1126010100206170002,1126010100106170002020697,127.08796056733401,37.5796252940301
마포구,1144066000,서교동,1144012000203950166,1144012000103950166010786,126.91690425281,37.5513738575528
성북구,1129052500,성북동,1129010200200350001,1129010200100350001000001,127.004904251791,37.58904601155471
도봉구,1132051100,창1동,1132010700206590005,1132010700106590005018052,127.034868675382,37.6483488366145
중구,1114052000,소공동,1114016600201350000,1114016600101350000023329,126.97298024232501,37.5613448991997
중구,1114055000,명동,1114010100200450000,1114010100100450000019022,126.978972751429,37.5676230751955
서초구,1165065100,양재1동,1165010200200040003,1165010200100040003005242,127.04257559708799,37.481988408185295
송파구,1171071000,잠실6동,1171010200200110004,1171010200100110004000195,127.103446561974,37.5174361339672
강남구,1168064000,역삼1동,1168010100207010007,1168010100107010007028040,127.04376206975901,37.503335049003795
마포구,1144066000,서교동,1144012000204750013,1144012000104750013021266,126.91070635656601,37.5557679688127
금천구,1154551000,가산동,1154510100203710028,1154510100103710028015795,126.882626013373,37.4799532337125
양천구,1147051000,목1동,1147010200204040013,1147010200104040013000001,126.876766269365,37.5239406644723
강남구,1168054500,압구정동,1168010700206350013,1168010700106350013009887,127.03471675846201,37.5268330299984
노원구,1135069500,상계6.7동,1135010500207230000,1135010500107230000000001,127.063825860056,37.6543668305308
금천구,1154561000,독산1동,1154510200202910001,1154510200102910001013680,126.895609328207,37.4689563671665
중구,1114052000,소공동,1114011400200690007,1114011400100690007022617,126.976779068076,37.562486166009705
구로구,1153077000,오류1동,1153010800200550050,1153010800100550050005778,126.844849844365,37.4962051540044
용산구,1117065000,이태원1동,1117065000200560013,1117013000100560013009296,126.989422726707,37.533959861770896
중구,1114054000,회현동,1114011800200060001,1114011800100060003023309,126.973244053454,37.5586170363758
영등포구,1156053500,영등포동,1156010400200020021,1156010400100020021000001,126.909582972668,37.518670766386
송파구,1171058000,송파1동,1171010400200960007,1171010400100960007013243,127.110334770409,37.502269334236004
영등포구,1156054000,여의동,1156011000200230000,1156011000100230000000001,126.924863083917,37.5251722235016
성북구,1129060000,안암동,1129012500200010002,1129012500100010002040548,127.030957744251,37.5864875767796
중구,1114067000,황학동,1114016500225450000,1114016500118710000000001,127.021448203321,37.5708030625306
강남구,1168064000,역삼1동,1168010100208370036,1168010100108370036027494,127.031801329315,37.4906588834388
종로구,1111061500,종로1.2.3.4가동,1111012700201000000,1111012700101000000015852,126.982423077525,37.5711128646326
강남구,1168058000,삼성1동,1168010500201570000,1168010500101570000016862,127.056219039363,37.508364008586895
종로구,1111053000,사직동,1111010600200350042,1111010600100350042000001,126.972615705273,37.5771730114202
광진구,1121581000,광장동,1121510400204450005,1121510400104450005010913,127.102911969818,37.544130344049
강남구,1168065000,역삼2동,1168010100207550000,1168010100107550000026232,127.048406096675,37.4992276933378
중구,1114055000,명동,1114010800200650001,1114010800100650001019221,126.983227937665,37.566866884039605
마포구,1144066000,서교동,1144012100201590001,1144012100101590001011730,126.923599454067,37.5572017356505
강남구,1168058000,삼성1동,1168010500200910031,1168010500100910031000001,127.06019337998899,37.5152437173541
강남구,1168072000,일원본동,1168011400200500000,1168011400100500000002609,127.08957883163201,37.490334340869495
