,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
60,답십리1?1,960332.5581,1952406.5580000002,-0.46589794799999995,-0.453162075,-0.787322083,-0.555139928,-0.571640755,-0.6299762720000001,-0.5694275870000001,-0.533786102,-0.459493088,11852.20998,3.097172778,0.361494327,0.6385056729999999,1.0,,1
238,신원동,0.0,949225.0,1942599.0,0.258259417,-0.056725174,0.052930593,0.802943145,0.183971418,-0.30710846399999997,-0.226433726,0.023193485,0.013264996999999999,16787.6745,0.464990755,0.41618813200000004,0.583811868,1.0,1
363,창5동,1.0,959469.4444,1961736.5,0.268996,0.34165808799999997,0.27211313800000003,-0.41662332,-0.370765105,-0.28564663,0.041023027999999996,0.154417427,0.273617024,15219.771859999999,-0.9187254859999999,0.766672185,0.233327815,0.0,1
148,북아현동,1.0,951879.5455,1951039.909,-0.715672181,0.390584926,-0.43964135600000004,-0.553045651,-0.6755725490000001,-0.688112073,-0.604835495,-0.7069301029999999,-0.44466397799999996,12149.09532,0.0072199690000000006,0.5675749379999999,0.43242506299999994,0.0,1
0,가락1동,1.0,965545.7627,1943982.898,-0.097547724,-1.9327923740000001,-1.80989704,-1.370076265,-1.530275061,-1.698234449,-1.7662520469999998,-1.848083306,-1.874831484,4189.393236999999,0.475394637,0.613864056,0.386135944,0.0,1
263,약수동,1.0,956677.5,1950321.5,-1.166868133,0.6566988970000001,-0.161377952,-0.212293254,0.219734392,0.167242534,0.282412268,0.662733099,1.304614552,17850.9632,0.8291266079999999,0.562467012,0.43753298799999996,0.0,1
38,구의2동,1.0,963747.7778,1949897.889,0.06360716,0.9908980279999999,0.66119403,-0.400927937,-0.231476298,-0.136289025,-0.061526344000000004,-0.031908194,-0.14938389800000001,15568.01813,0.7979149640000001,0.58828375,0.41171625,0.0,1
176,상봉1동,1.0,963531.8182,1955355.8180000002,-0.7900348690000001,0.025949539,-0.143217964,0.21317440899999998,0.168284144,0.018304317,0.531595529,0.471036978,0.429035038,17380.26082,-1.168418642,0.615176312,0.38482368899999997,0.0,1
241,신월3동,1.0,940410.0,1948889.0,2.880218447,-1.226912936,-0.974512519,-1.111731489,-1.308189595,-1.38744017,-1.4097205730000002,-1.439153586,-1.4918064219999998,6865.8112,-0.9083216040000001,0.823016537,0.176983463,0.0,1
177,상봉2동,1.0,963379.1667,1955083.167,-0.48151040700000003,-0.027685825,-0.274357582,0.035843744,-0.009717215,-0.11620127699999999,0.317462201,0.252200997,0.19834855899999998,16169.547669999998,-1.168418642,0.637173119,0.362826881,0.0,1
289,용신동,1.0,958597.7778,1952921.2219999998,-0.6421034170000001,-0.428336263,-0.609918875,-0.315003493,-0.267183682,-0.22187225300000002,0.10284218099999999,0.230439435,0.5520643479999999,14932.91734,-0.512974107,0.661536965,0.338463035,0.0,1
294,월계1동,1.0,961454.5455,1957453.545,-0.9774349509999999,1.016538888,1.194876826,0.751854865,0.366197444,0.597367117,1.030659386,1.474182775,1.464350145,22184.26855,-0.252877069,0.596796099,0.40320390100000003,0.0,1
84,돈암1동,1.0,957966.6667,1955932.333,-0.98792811,2.16581981,1.942157739,0.373736767,0.709288685,1.3636569,1.6993810580000002,2.16060227,2.082026735,25294.211330000002,0.21529759899999998,0.646810845,0.353189155,0.0,1
