X.1,id,X,Y,구,동,예측,대여,반납
8610,148020,946700,1940949,금천구,독산1동,44.52448459,25.0398791,19.4846055
8611,148021,946700,1940899,금천구,독산1동,52.50632654,26.95400446,25.55232208
8612,148022,946700,1940849,금천구,독산2동,55.53743192,27.18393202,28.3534999
8613,148023,946700,1940799,금천구,독산2동,52.26510253,27.7999261,24.46517643
8614,148024,946700,1940749,금천구,독산2동,52.56353713,26.68218191,25.88135522
8615,148025,946700,1940699,금천구,독산2동,52.38901381,25.88339107,26.50562275
8616,148026,946700,1940649,금천구,독산2동,47.92817652,24.06111856,23.86705796
8617,148027,946700,1940599,금천구,독산2동,44.52592696,21.62452245,22.90140451
8618,136642,945800,1940149,금천구,독산1동,46.32929169,25.37928735,20.95000434
8619,137276,945850,1940099,금천구,독산1동,45.50155105,24.66136082,20.84019023
8620,137906,945900,1940249,금천구,독산1동,37.70663648,19.97477273,17.73186375
8621,137907,945900,1940199,금천구,독산1동,40.60565601,20.73321868,19.87243733
8622,137910,945900,1940049,금천구,독산1동,45.47329752,23.06536973,22.4079278
8623,137911,945900,1939999,금천구,독산1동,47.60216921,23.81013886,23.79203035
8624,138541,945950,1940149,금천구,독산1동,33.55307749,17.87608821,15.67698928
8625,138544,945950,1939999,금천구,독산1동,43.67965413,21.61243781,22.06721632
8626,139176,946000,1940049,금천구,독산1동,38.58353871,19.01395842,19.56958029
8627,139177,946000,1939999,금천구,독산1동,41.18860934,20.62878014,20.5598292
8628,137277,945850,1940049,금천구,독산1동,49.05463921,24.58614934,24.46848987
8629,136015,945750,1939849,금천구,독산1동,52.41266419,23.60462924,28.80803495
8630,136647,945800,1939899,금천구,독산1동,49.99063597,25.21207632,24.77855965
8631,137279,945850,1939949,금천구,독산1동,53.40697883,25.97267424,27.43430459
8632,137272,945850,1940299,금천구,독산1동,36.0678505,17.20764684,18.86020367
8633,135375,945700,1940199,금천구,독산1동,43.9366302,22.615132,21.32149821
8634,136008,945750,1940199,금천구,독산1동,41.38787162,22.45294033,18.93493129
8635,136648,945800,1939849,금천구,독산1동,53.69533998,23.3796031,30.31573689
8636,139812,946050,1939899,금천구,독산1동,46.39078701,22.25621872,24.13456829
8637,139813,946050,1939849,금천구,독산1동,48.87685791,24.00195404,24.87490386
8638,140446,946100,1939849,금천구,독산1동,49.18742962,24.10485269,25.08257693
8639,140447,946100,1939799,금천구,독산1동,52.2715545,26.74131846,25.53023604
8640,137280,945850,1939899,금천구,독산1동,50.38037557,24.34064107,26.0397345
8641,138545,945950,1939949,금천구,독산1동,44.56154191,22.75208435,21.80945756
8642,139178,946000,1939949,금천구,독산1동,42.35869745,21.67208252,20.68661492
8643,139811,946050,1939949,금천구,독산1동,41.77254009,21.81246673,19.96007337
8644,140448,946100,1939749,금천구,독산1동,46.97725399,23.73749837,23.23975561
8645,148657,946750,1940749,금천구,독산2동,48.86521881,24.98287429,23.88234453
8646,148658,946750,1940699,금천구,독산2동,50.58081663,25.54828539,25.03253124
8647,148659,946750,1940649,금천구,독산2동,52.85115237,26.08260265,26.76854972
8648,148663,946750,1940449,금천구,독산2동,34.29564481,16.73788605,17.55775876
8649,149297,946800,1940399,금천구,독산2동,34.14753509,16.47360843,17.67392666
8650,149933,946850,1940249,금천구,독산2동,38.94132183,20.50338799,18.43793384
8651,149934,946850,1940199,금천구,독산2동,42.30733513,21.18442241,21.12291272
8652,150569,946900,1940099,금천구,독산2동,58.17521835,27.61646552,30.55875283
8653,150570,946900,1940049,금천구,독산2동,66.53178162,33.05730239,33.47447923
8654,151185,946950,1940949,금천구,독산2동,45.8584703,21.63792305,24.22054725
8655,151818,947000,1940949,금천구,독산2동,51.18222737,24.34963023,26.83259713
8656,152451,947050,1940949,금천구,독산2동,48.29208162,21.91183775,26.38024387
8657,148660,946750,1940599,금천구,독산2동,46.19421886,23.65984846,22.5343704
8658,148661,946750,1940549,금천구,독산2동,42.78371057,21.41163672,21.37207384
8659,148662,946750,1940499,금천구,독산2동,40.5751114,20.32637232,20.24873907
8660,148653,946750,1940949,금천구,독산2동,43.05468863,23.89869335,19.15599528
8661,148654,946750,1940899,금천구,독산2동,50.56560544,27.31460413,23.25100131
8662,148655,946750,1940849,금천구,독산2동,51.73891145,27.53156839,24.20734306
8663,148656,946750,1940799,금천구,독산2동,53.83490263,29.60297542,24.23192722
8664,149286,946800,1940949,금천구,독산2동,43.06016175,20.99201177,22.06814997
8665,149919,946850,1940949,금천구,독산2동,40.72210713,18.9853923,21.73671484
8666,150552,946900,1940949,금천구,독산2동,39.06904323,16.54923523,22.519808
8667,160016,947650,1942499,금천구,독산3동,67.91645616,31.42510187,36.49135429
8668,157485,947450,1942449,금천구,독산3동,63.87973718,31.11339696,32.76634022
8669,159383,947600,1942499,금천구,독산3동,73.45666417,35.37871175,38.07795242
8670,155587,947300,1942399,금천구,독산3동,63.44086719,32.4534984,30.98736879
8671,156219,947350,1942449,금천구,독산3동,67.0687247,33.90181941,33.16690528
